"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"10" "0" "99" "159" "19.5" "Running Jump Shot"
"10" "0" "-147" "48" "13.6" "Step Back Jump shot"
"10" "0" "4" "14" "1.6" "Tip Shot"
"10" "0" "-139" "33" "15.1" "Turnaround Jump Shot"
"11" "1" "-78" "31" "15.9" "Fadeaway Jump Shot"
"11" "1" "-149" "9" "16.3" "Fadeaway Jump Shot"
"11" "0" "-13" "254" "25.7" "Jump Shot"
"11" "1" "64" "258" "25.2" "Jump Shot"
"11" "1" "17" "249" "24.9" "Jump Shot"
"11" "0" "91" "246" "24.3" "Jump Shot"
"11" "0" "-56" "19" "10.4" "Jump Shot"
"11" "0" "86" "246" "24.5" "Jump Shot"
"11" "0" "-101" "266" "26.1" "Jump Shot"
"11" "0" "-40" "1" "4.1" "Jump Shot"
"11" "0" "-120" "227" "24.2" "Jump Shot"
"11" "0" "-103" "6" "10.2" "Jump Shot"
"11" "0" "-172" "97" "23.3" "Jump Shot"
"11" "0" "110" "168" "19.5" "Jump Shot"
"11" "0" "53" "47" "7.7" "Jump Shot"
"11" "1" "-11" "4" "13" "Tip Shot"
"12" "1" "-7" "33" "8" "Floating Jump shot"
"12" "1" "-128" "222" "25.1" "Jump Shot"
"12" "0" "-45" "246" "24.3" "Jump Shot"
"12" "1" "-26" "74" "11.8" "Jump Shot"
"12" "0" "209" "157" "24.4" "Jump Shot"
"12" "0" "-231" "-3" "20.5" "Jump Shot"
"12" "0" "-191" "-8" "20.9" "Turnaround Jump Shot"
"12" "0" "-147" "7" "15" "Turnaround Jump Shot"
"13" "0" "-59" "26" "6.6" "Jump Bank Shot"
"13" "1" "231" "7" "22.5" "Jump Shot"
"13" "1" "-10" "279" "26.8" "Jump Shot"
"13" "0" "-169" "88" "21.7" "Jump Shot"
"13" "0" "125" "217" "25.2" "Jump Shot"
"13" "0" "163" "132" "21.7" "Jump Shot"
"13" "0" "-128" "217" "24.7" "Jump Shot"
"13" "0" "-114" "37" "5.7" "Running Bank shot"
"13" "0" "-177" "4" "22.2" "Step Back Jump shot"
"13" "1" "37" "159" "15.7" "Turnaround Fadeaway shot"
"13" "0" "-81" "97" "16.6" "Turnaround Jump Shot"
"14" "1" "-116" "41" "8.7" "Jump Bank Shot"
"14" "0" "-41" "255" "24.4" "Jump Shot"
"14" "1" "-130" "134" "22.5" "Jump Shot"
"14" "0" "119" "418" "44.9" "Jump Shot"
"14" "0" "-232" "3" "22.9" "Jump Shot"
"14" "0" "-103" "33" "5.8" "Jump Shot"
"14" "0" "-166" "189" "24.7" "Jump Shot"
"14" "1" "86" "58" "12.3" "Step Back Jump shot"
"14" "0" "78" "172" "21.8" "Step Back Jump shot"
"14" "1" "-235" "7" "23.8" "Step Back Jump shot"
"14" "0" "108" "52" "15.7" "Turnaround Jump Shot"
"15" "0" "-127" "45" "8.3" "Fadeaway Jump Shot"
"15" "0" "6" "56" "7.7" "Fadeaway Jump Shot"
"15" "1" "-7" "30" "3.4" "Jump Shot"
"15" "1" "42" "146" "16.6" "Jump Shot"
"15" "0" "-130" "0" "6.9" "Jump Shot"
"15" "0" "6" "261" "25.2" "Jump Shot"
"15" "0" "102" "11" "10.1" "Jump Shot"
"15" "0" "-136" "74" "20.6" "Jump Shot"
"15" "1" "-139" "101" "16.8" "Step Back Jump shot"
"15" "0" "168" "-6" "18.2" "Step Back Jump shot"
"15" "0" "-150" "22" "16.4" "Turnaround Fadeaway shot"
"15" "1" "42" "93" "14.5" "Turnaround Fadeaway shot"
"16" "0" "12" "134" "13.9" "Floating Jump shot"
"16" "1" "163" "-10" "17.6" "Jump Shot"
"16" "0" "143" "241" "27.4" "Jump Shot"
"16" "0" "94" "233" "24.6" "Jump Shot"
"16" "0" "-213" "-22" "23.9" "Jump Shot"
"16" "0" "146" "44" "19.9" "Jump Shot"
"16" "0" "-128" "219" "22.4" "Jump Shot"
"16" "0" "-168" "178" "24.7" "Jump Shot"
"16" "1" "48" "17" "7.1" "Running Bank shot"
"16" "1" "-30" "61" "8.4" "Step Back Jump shot"
"16" "0" "-56" "56" "11.2" "Step Back Jump shot"
"17" "0" "-78" "44" "10.5" "Fadeaway Jump Shot"
"17" "0" "-68" "113" "15" "Fadeaway Jump Shot"
"17" "1" "-90" "56" "11.8" "Jump Bank Shot"
"17" "0" "111" "313" "33.2" "Jump Shot"
"17" "1" "136" "26" "15.4" "Jump Shot"
"17" "1" "151" "219" "27.3" "Jump Shot"
"17" "0" "127" "225" "25" "Jump Shot"
"17" "0" "165" "203" "27.3" "Jump Shot"
"17" "0" "146" "211" "25.1" "Jump Shot"
"17" "0" "-141" "220" "25.6" "Jump Shot"
"18" "1" "61" "14" "7.9" "Driving Bank Hook Shot"
"18" "1" "15" "56" "6" "Floating Jump shot"
"18" "1" "-89" "89" "12.9" "Jump Shot"
"18" "1" "-172" "205" "24.8" "Jump Shot"
"18" "1" "239" "6" "23" "Jump Shot"
"18" "1" "-34" "0" "2.4" "Jump Shot"
"18" "0" "-101" "173" "20.5" "Jump Shot"
"18" "0" "228" "82" "24.1" "Jump Shot"
"18" "0" "1" "197" "20.2" "Pullup Jump shot"
"18" "0" "0" "296" "26.5" "Pullup Jump shot"
"18" "0" "-2" "205" "19.9" "Step Back Jump shot"
"18" "0" "174" "101" "20.8" "Step Back Jump shot"
"18" "1" "-52" "194" "19.8" "Step Back Jump shot"
"19" "0" "106" "39" "10.1" "Driving Bank shot"
"19" "1" "9" "39" "4.6" "Driving Jump shot"
"19" "0" "-131" "129" "15.8" "Fadeaway Jump Shot"
"19" "1" "-111" "227" "25.9" "Jump Shot"
"19" "0" "157" "189" "24.8" "Jump Shot"
"19" "1" "-27" "134" "11" "Jump Shot"
"19" "1" "125" "134" "17.7" "Jump Shot"
"19" "0" "12" "37" "6.3" "Jump Shot"
"19" "0" "0" "255" "25.3" "Jump Shot"
"19" "0" "171" "-10" "19.2" "Jump Shot"
"19" "0" "-34" "58" "4.4" "Jump Shot"
"19" "0" "125" "154" "20.6" "Jump Shot"
"19" "1" "-177" "-8" "15.3" "Step Back Jump shot"
"19" "1" "147" "129" "23.2" "Turnaround Fadeaway shot"
"20" "1" "-46" "52" "9.8" "Floating Jump shot"
"20" "1" "155" "7" "17.1" "Jump Shot"
"20" "1" "-81" "241" "25.8" "Jump Shot"
"20" "1" "28" "167" "18.7" "Jump Shot"
"20" "0" "241" "0" "22.9" "Jump Shot"
"20" "1" "-5" "260" "25" "Jump Shot"
"20" "0" "211" "137" "24.3" "Jump Shot"
"20" "0" "2" "255" "27.4" "Jump Shot"
"20" "0" "-7" "127" "14.4" "Jump Shot"
"20" "1" "-7" "69" "5.9" "Running Bank Hook Shot"
"20" "1" "94" "44" "10" "Running Bank shot"
"20" "1" "-78" "31" "6.6" "Running Bank shot"
"20" "0" "-2" "60" "6.7" "Running Jump Shot"
"20" "0" "45" "69" "10.8" "Running Jump Shot"
"20" "0" "-131" "34" "19.3" "Step Back Jump shot"
"20" "1" "155" "26" "16.8" "Turnaround Fadeaway shot"
"22" "1" "-147" "7" "10.9" "Fadeaway Jump Shot"
"22" "0" "-123" "58" "10.3" "Jump Shot"
"22" "1" "118" "235" "25.1" "Jump Shot"
"22" "1" "-166" "104" "21.6" "Jump Shot"
"22" "1" "146" "164" "22.6" "Jump Shot"
"22" "0" "43" "151" "12.2" "Jump Shot"
"22" "1" "94" "148" "9.2" "Jump Shot"
"22" "1" "-163" "121" "20.9" "Jump Shot"
"22" "1" "-182" "167" "24.5" "Jump Shot"
"22" "0" "-122" "123" "18.6" "Jump Shot"
"22" "0" "-119" "118" "19.8" "Jump Shot"
"22" "0" "-158" "145" "23.6" "Jump Shot"
"22" "1" "-117" "157" "17.9" "Pullup Jump shot"
"22" "1" "-139" "82" "14.1" "Pullup Jump shot"
"23" "1" "-26" "257" "24.8" "Jump Shot"
"23" "1" "53" "205" "23.4" "Jump Shot"
"23" "1" "67" "190" "22.3" "Jump Shot"
"23" "1" "-26" "149" "16.9" "Jump Shot"
"23" "1" "-152" "31" "18" "Jump Shot"
"23" "0" "28" "211" "22.3" "Jump Shot"
"23" "1" "18" "257" "26" "Jump Shot"
"23" "0" "-70" "260" "26.1" "Jump Shot"
"23" "0" "-160" "75" "13.2" "Running Bank shot"
"23" "1" "-146" "60" "19" "Step Back Jump shot"
"23" "0" "-168" "72" "19.5" "Step Back Jump shot"
"23" "0" "95" "112" "15" "Turnaround Fadeaway shot"
"23" "0" "-168" "11" "18.6" "Turnaround Fadeaway shot"
"24" "1" "-131" "131" "18.1" "Jump Shot"
"24" "0" "-188" "0" "21.7" "Jump Shot"
"24" "0" "-204" "189" "24.8" "Jump Shot"
"24" "0" "143" "135" "20.8" "Jump Shot"
"24" "0" "-15" "194" "19" "Jump Shot"
"24" "0" "2" "31" "4.2" "Jump Shot"
"24" "0" "-30" "250" "25.3" "Jump Shot"
"25" "1" "2" "41" "8.2" "Floating Jump shot"
"25" "0" "-106" "36" "7" "Jump Bank Shot"
"25" "1" "228" "25" "23.1" "Jump Shot"
"25" "1" "4" "254" "25.9" "Jump Shot"
"25" "0" "176" "200" "27.8" "Jump Shot"
"25" "0" "-119" "227" "25.2" "Jump Shot"
"25" "0" "-106" "142" "16.4" "Jump Shot"
"25" "0" "-155" "97" "19.2" "Jump Shot"
"25" "0" "24" "19" "8.1" "Running Jump Shot"
"25" "0" "36" "0" "7.3" "Running Jump Shot"
"25" "1" "-152" "52" "14.9" "Turnaround Jump Shot"
"26" "1" "-84" "56" "7" "Jump Hook Shot"
"26" "1" "-150" "195" "24.5" "Jump Shot"
"26" "0" "233" "-13" "22.8" "Jump Shot"
"26" "1" "-147" "219" "24.4" "Jump Shot"
"26" "1" "181" "183" "24.5" "Jump Shot"
"26" "1" "21" "208" "22" "Jump Shot"
"26" "0" "100" "239" "25.9" "Jump Shot"
"26" "0" "162" "31" "18.6" "Jump Shot"
"26" "0" "-191" "104" "23.8" "Jump Shot"
"26" "0" "-185" "-2" "21.8" "Step Back Jump shot"
"27" "0" "-161" "67" "21.5" "Fadeaway Jump Shot"
"27" "1" "0" "85" "11.8" "Fadeaway Jump Shot"
"27" "1" "-235" "-6" "23.2" "Jump Shot"
