"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"9" "0" "0" "107" "6" "Jump Shot"
"9" "0" "-183" "205" "24.4" "Jump Shot"
"9" "0" "135" "129" "16.3" "Jump Shot"
"9" "1" "-224" "129" "23.7" "Pullup Jump shot"
"9" "1" "-136" "142" "19.9" "Pullup Jump shot"
"9" "0" "89" "246" "25" "Pullup Jump shot"
"9" "1" "-32" "266" "26" "Pullup Jump shot"
"9" "0" "141" "140" "18.3" "Pullup Jump shot"
"9" "1" "-166" "230" "24.9" "Pullup Jump shot"
"9" "1" "-158" "86" "18.7" "Running Bank shot"
"9" "0" "-210" "31" "18.9" "Step Back Jump shot"
"9" "0" "-166" "206" "24.6" "Step Back Jump shot"
"9" "1" "-166" "83" "20.7" "Step Back Jump shot"
"10" "0" "59" "66" "9.7" "Floating Jump shot"
"10" "0" "-111" "-11" "11.8" "Floating Jump shot"
"10" "1" "15" "260" "27" "Jump Shot"
"10" "1" "138" "211" "24.3" "Jump Shot"
"10" "1" "-188" "214" "25.6" "Jump Shot"
"10" "1" "-171" "224" "23.8" "Jump Shot"
"10" "1" "125" "220" "25.1" "Jump Shot"
"10" "0" "236" "6" "21.7" "Jump Shot"
"10" "0" "174" "201" "25.5" "Jump Shot"
"10" "0" "72" "203" "24.2" "Jump Shot"
"10" "0" "-119" "190" "23.8" "Jump Shot"
"10" "0" "146" "222" "25.2" "Jump Shot"
"11" "0" "-207" "31" "21.8" "Jump Shot"
"11" "0" "-106" "249" "24.4" "Pullup Jump shot"
"11" "1" "-109" "228" "26" "Pullup Jump shot"
"11" "1" "121" "258" "26.4" "Pullup Jump shot"
"11" "0" "94" "258" "24.6" "Pullup Jump shot"
"11" "0" "-209" "156" "24" "Pullup Jump shot"
"11" "0" "157" "217" "26.5" "Step Back Jump shot"
"11" "0" "-108" "140" "42.2" "Turnaround Fadeaway shot"
"12" "1" "-157" "118" "20.9" "Jump Shot"
"12" "0" "-138" "205" "24.3" "Jump Shot"
"12" "0" "140" "172" "23.1" "Jump Shot"
"12" "0" "173" "172" "24.6" "Jump Shot"
"12" "0" "32" "116" "12.9" "Jump Shot"
"12" "0" "-175" "173" "24.4" "Jump Shot"
"12" "1" "4" "244" "25.5" "Pullup Jump shot"
"12" "0" "-11" "149" "15.9" "Step Back Jump shot"
"12" "1" "-158" "187" "24.6" "Step Back Jump shot"
"12" "0" "-204" "146" "23.9" "Step Back Jump shot"
"13" "1" "242" "31" "23.2" "Jump Shot"
"13" "1" "-59" "241" "25.2" "Jump Shot"
"13" "1" "160" "194" "24.7" "Jump Shot"
"13" "1" "51" "247" "26.3" "Jump Shot"
"13" "1" "-15" "246" "24.8" "Jump Shot"
"13" "1" "-201" "138" "24.8" "Jump Shot"
"13" "0" "62" "121" "14.5" "Jump Shot"
