Game Shots Missmade Xdist Ydist Dist Quarter
5 16 1 297 80 0 3
5 17 1 299 79 0 2
5 18 0 312 77 0 4
5 19 1 319 68 0 3
5 20 0 426 244 19 2
5 21 1 438 210 16 2
5 22 1 486 81 16 2
5 23 0 494 80 16 1
5 24 1 494 80 16 4
5 25 1 524 77 18 4
5 26 1 360 137 6 3
50 1 0 126 166 17 2
50 2 0 126 208 19 1
50 3 0 145 151 15 1
50 4 0 171 75 12 4
50 5 0 180 144 12 2
50 6 0 192 86 10 2
50 7 1 194 189 13 4
50 8 0 250 132 6 2
50 9 0 296 251 16 4
50 10 0 310 238 15 1
50 11 0 319 251 16 4
50 12 1 367 100 6 4
50 13 1 390 246 17 1
50 14 0 402 246 18 4
50 15 1 288 73 0 1
50 16 0 294 74 0 3
50 17 1 300 75 0 4
50 18 1 306 74 0 1
50 19 1 312 73 0 1
51 1 1 54 79 20 2
51 2 0 94 101 17 3
51 3 0 221 212 14 1
51 4 0 266 175 9 3
51 5 0 299 194 11 1
51 6 0 401 274 19 2
51 7 0 413 365 27 1
51 8 0 432 156 13 3
51 9 1 292 74 0 2
51 10 1 297 75 0 4
51 11 1 303 75 0 3
51 12 1 308 74 0 2
53 1 0 201 255 17 1
53 2 0 212 84 9 2
53 3 1 221 84 9 3
53 4 0 215 220 15 2
53 5 0 275 150 7 3
53 6 0 309 156 9 2
53 7 0 309 200 13 1
53 8 0 311 359 25 1
53 9 0 348 87 3 3
53 10 1 408 291 20 2
53 11 1 455 215 18 2
53 12 0 466 213 19 2
53 13 1 288 73 0 3
53 14 1 294 74 0 1
53 15 0 300 75 0 3
53 16 1 306 74 0 2
53 17 1 312 73 0 3
55 1 0 133 88 16 2
55 2 1 178 88 12 2
55 3 0 184 166 14 1
55 4 0 198 202 16 4
55 5 1 248 234 15 1
55 6 0 249 248 16 1
55 7 0 307 349 24 2
55 8 0 440 129 14 3
55 9 1 456 318 24 3
55 10 0 466 106 16 3
55 11 0 535 89 19 1
55 12 1 294 73 0 2
55 13 0 306 73 0 1
6 1 1 90 186 18 3
6 2 0 103 113 16 3
6 3 1 101 142 16 1
6 4 0 105 202 17 3
6 5 0 123 162 15 4
6 6 0 120 190 16 4
6 7 0 135 241 19 1
6 8 0 140 106 14 3
6 9 1 142 113 14 3
6 10 0 171 403 28 2
6 11 0 198 149 10 1
6 12 0 216 309 21 3
6 13 0 249 96 4 2
6 14 1 267 327 21 3
6 15 1 288 70 0 3
6 16 1 298 72 0 1
6 17 1 299 80 0 2
6 18 0 309 76 0 1
6 19 1 316 66 0 4
6 20 0 340 242 15 1
6 21 1 339 267 17 2
6 22 0 375 270 18 2
6 23 0 393 144 9 3
6 24 0 424 147 13 2
6 25 1 440 114 13 3
6 26 0 442 136 13 2
6 27 1 441 192 16 3
6 28 0 485 106 16 2
6 29 1 488 172 17 4
6 30 1 490 186 18 1
68 1 0 68 210 23 1
68 2 0 146 262 21 1
68 3 0 206 264 18 2
68 4 0 242 262 17 4
68 5 0 297 254 16 2
68 6 1 512 144 18 1
68 7 1 295 74 0 1
68 8 0 300 75 0 2
68 9 0 305 74 0 3
69 1 0 160 193 16 2
69 2 1 159 284 21 2
69 3 0 278 278 17 1
69 4 1 280 286 18 1
69 5 0 293 307 21 1
69 6 0 300 224 14 4
69 7 0 334 281 18 2
69 8 1 460 231 20 2
69 9 0 526 64 18 3
69 10 0 526 180 21 3
69 11 1 296 74 0 2
69 12 0 304 74 0 4
7 1 0 57 99 19 2
7 2 0 57 121 19 3
7 3 0 75 84 17 4
7 4 0 96 97 16 3
7 5 0 93 140 17 1
7 6 0 122 94 14 2
7 7 1 119 140 16 4
7 8 0 120 150 17 3
7 9 0 146 106 13 3
7 10 0 144 170 16 4
7 11 0 216 121 7 3
7 12 0 265 109 3 4
7 13 0 277 302 19 2
7 14 0 280 374 26 1
7 15 0 289 107 3 3
7 16 1 283 70 0 4
7 17 0 286 74 0 4
7 18 1 301 80 0 3
7 19 0 288 88 0 4
7 20 0 314 80 0 1
7 21 1 316 72 0 4
7 22 0 468 118 16 1
7 23 0 470 222 19 4
7 24 1 471 243 21 4
7 25 0 541 99 21 3
70 1 0 122 162 17 2
70 2 1 126 195 19 4
70 3 0 155 163 15 4
70 4 0 166 73 13 1
70 5 1 186 149 13 4
70 6 1 196 240 18 2
70 7 0 284 142 6 4
70 8 0 298 237 15 4
70 9 0 296 257 17 4
70 10 0 310 234 15 3
70 11 1 382 228 15 2
70 12 1 388 238 17 2
70 13 0 430 108 13 2
70 14 1 482 90 15 3
70 15 0 500 241 22 2
70 16 0 294 74 0 3
70 17 0 304 74 0 4
71 1 1 88 149 19 4
71 2 1 100 200 19 3
71 3 0 127 300 25 3
71 4 0 158 221 18 4
71 5 0 180 178 14 1
71 6 0 279 171 9 2
71 7 1 294 82 1 4
71 8 0 480 222 19 2
71 9 1 300 74 0 2
9 1 0 57 68 19 4
9 2 1 94 138 17 2
9 3 0 134 96 14 4
9 4 1 138 160 15 4
9 5 1 146 198 16 4
9 6 0 166 180 15 1
9 7 0 185 292 21 3
9 8 1 240 120 6 1
9 9 1 240 238 16 3
9 10 1 228 357 24 2
9 11 0 251 81 3 3
9 12 1 275 284 19 1
9 13 0 285 136 5 1
9 14 1 292 67 0 4
9 15 0 294 71 0 3
9 16 0 296 73 0 2
9 17 1 299 76 0 2
9 18 0 307 76 0 1
9 19 1 309 74 0 1
9 20 1 326 153 8 4
9 21 0 335 75 3 4
9 22 0 344 373 25 3
9 23 0 350 80 4 2
9 24 0 418 120 12 1
9 25 0 421 69 12 4
9 26 0 447 134 15 1
9 27 0 453 39 14 3
9 28 0 475 62 15 2
9 29 1 488 53 16 2
9 30 1 490 66 16 2
9 31 0 492 75 16 3
9 32 1 495 143 17 3
9 33 0 504 60 17 3
