Game Shots Missmade Xdist Ydist Dist Quarter
19 20 1 307 73 0 2
19 21 0 310 72 0 2
2 1 1 114 86 16 1
2 2 1 114 86 16 1
2 3 1 122 96 16 2
2 4 0 138 325 25 2
2 5 0 150 86 13 2
2 6 0 168 107 11 2
2 7 1 156 134 13 3
2 8 1 156 168 14 3
2 9 0 180 94 10 2
2 10 0 179 118 13 4
2 11 0 179 332 23 1
2 12 1 211 84 8 4
2 13 1 211 84 8 2
2 14 0 201 111 10 4
2 15 0 214 348 25 2
2 16 1 248 203 12 1
2 17 0 320 153 8 2
2 18 0 382 86 6 2
2 19 0 369 159 9 1
2 20 0 378 203 13 4
2 21 1 405 84 9 1
2 22 1 407 251 18 2
2 23 0 459 266 19 3
2 24 0 470 91 13 2
2 25 0 537 100 19 1
2 26 1 282 69 0 2
2 27 1 282 69 0 2
2 28 0 288 74 0 1
2 29 0 312 74 0 4
2 30 1 320 68 0 4
20 1 1 107 246 21 1
20 2 0 170 241 17 4
20 3 0 202 150 9 3
20 4 0 222 269 19 3
20 5 0 354 239 15 2
20 6 0 377 276 20 2
20 7 1 382 300 21 1
20 8 0 410 360 25 2
20 9 0 419 251 17 1
20 10 1 461 216 17 2
20 11 0 286 70 0 4
20 12 1 289 72 0 1
20 13 1 292 74 0 3
20 14 0 295 76 0 3
20 15 1 298 75 0 2
20 16 0 301 74 0 3
20 17 1 305 74 0 1
20 18 0 308 72 0 1
20 19 1 311 70 0 3
21 1 1 84 41 17 3
21 2 1 84 59 17 1
21 3 0 109 34 16 2
21 4 0 107 50 16 4
21 5 0 127 150 13 4
21 6 0 134 198 16 4
21 7 0 175 167 13 2
21 8 1 205 156 12 3
21 9 0 204 204 14 2
21 10 0 318 194 11 2
21 11 1 372 204 14 2
21 12 1 397 204 16 2
21 13 0 448 56 14 2
21 14 0 476 38 15 4
21 15 0 490 24 16 1
21 16 0 490 37 16 4
21 17 0 489 112 17 1
21 18 0 548 234 26 2
21 19 1 290 73 0 1
21 20 0 294 74 0 3
21 21 1 298 75 0 4
21 22 1 302 74 0 3
21 23 1 309 73 0 1
22 1 0 96 90 16 3
22 2 1 95 145 17 3
22 3 0 132 166 16 4
22 4 1 163 64 11 4
22 5 0 171 221 17 1
22 6 0 234 262 17 3
